Reference,Superstructure type,Intesnity Measure,Number of spans,Joint type,Soil type,Column type,Skewness,Horizontal curve,Abutment stiffness,"Seismic design (SD, NSD)",States,Retrofitted,"Fault (Near Fault, Far Field,Both,reverse,Strike-Slip)",Time Dependent(years),Environmental Condition,Description,Units,Number of Damage States,Slight DS(median),Slight DS(Dispersion),Moderate DS(median),Moderate DS(Dispersion),Extensive DS(median),Extensive DS(dipersion),Complete DS(median),Complete DS(Dispersion)
"Guo et al., (2016),BG,3MSSS_MC,SD,Soil=Type_D,Time=60",Box Girder,PGA,Three,Simply Supported,Type_D,Multiple columns,No,No,No,Unknown,nonCalifornia,No,Both,Yes,No,"Ref: Guo, X., Wu, Y., and Guo, Y. (2016). “Time-dependent seismic fragility analysis of bridge systems under scour hazard and earthquake loads.” Engineering Structures, 121, 52–60.",g,4,0.38,0.91,0.68,0.82,1.1,0.79,1.98,0.87
"Guo et al., (2016),BG,2MSSS_MC,SD,Soil=Type_D,Time=75",Box Girder,PGA,Two,Simply Supported,Type_D,Multiple columns,No,No,No,Unknown,nonCalifornia,No,Both,Yes,No,"Ref: Guo, X., Wu, Y., and Guo, Y. (2016). “Time-dependent seismic fragility analysis of bridge systems under scour hazard and earthquake loads.” Engineering Structures, 121, 52–60.",g,4,0.33,0.87,0.6,0.78,1.03,0.69,1.69,0.65
"Guo et al., (2016),BG,3MSSS_MC,SD,Soil=Type_D,Time=75",Box Girder,PGA,Three,Simply Supported,Type_D,Multiple columns,No,No,No,Unknown,nonCalifornia,No,Both,Yes,No,"Ref: Guo, X., Wu, Y., and Guo, Y. (2016). “Time-dependent seismic fragility analysis of bridge systems under scour hazard and earthquake loads.” Engineering Structures, 121, 52–60.",g,4,0.36,0.95,0.64,0.86,1.04,0.81,1.89,0.92
"Kim & Shinozuka (2004),C,3MSC_MC,NSD,SteelJacketing",Concrete,PGA,Three,Continuous,unknown,Multiple columns,No,No,No,Nonseismically design,nonCalifornia,Steel Column Jacketing,Both,No,No,"Ref: Kim, S. H., and Shinozuka, M. (2004). “Development of fragility curves of bridges retrofitted by column jacketing.” Probabilistic Engineering Mechanics, 19(1), 105–112.",g,4,0.45,0.84,0.8,0.84,1.04,0.84,1.66,0.84
"Kim & Shinozuka (2004),C,3MSC_MC,NSD",Concrete,PGA,Three,Continuous,unknown,Multiple columns,No,No,No,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Kim, S. H., and Shinozuka, M. (2004). “Development of fragility curves of bridges retrofitted by column jacketing.” Probabilistic Engineering Mechanics, 19(1), 105–112.",g,4,0.75,0.84,1.25,0.84,1.73,0.84,5.05,0.84
"Kim & Shinozuka (2004),C,5MSC_MC,NSD",Concrete,PGA,Five,Continuous,unknown,Multiple columns,No,No,No,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Kim, S. H., and Shinozuka, M. (2004). “Development of fragility curves of bridges retrofitted by column jacketing.” Probabilistic Engineering Mechanics, 19(1), 105–112.",g,4,0.44,0.96,0.65,0.96,0.86,0.96,1.47,0.96
"Kim & Shinozuka (2004),C,5MSC_MC,NSD,SteelJacketing",Concrete,PGA,Five,Continuous,unknown,Multiple columns,No,No,No,Nonseismically design,nonCalifornia,Steel Column Jacketing,Both,No,No,"Ref: Kim, S. H., and Shinozuka, M. (2004). “Development of fragility curves of bridges retrofitted by column jacketing.” Probabilistic Engineering Mechanics, 19(1), 105–112.",g,4,0.52,0.96,1.11,0.96,2.13,0.96,3,0.96
"Mander (1999),C,SS,SD",Concrete,PGA,One,General,General,General,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.8,0.6,0.9,0.6,1.1,0.6,1.6,0.6
"Mander (1999),St,SS,SD",Steel,PGA,One,General,General,General,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.8,0.6,0.9,0.6,1.1,0.6,1.6,0.6
"Mander (1999),PC,SS,SD",Prestressed Concrete,PGA,One,General,General,General,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.8,0.6,0.9,0.6,1.1,0.6,1.6,0.6
"Mander (1999),C,SS,NSD_nonCalifornia",Concrete,PGA,One,General,General,General,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.8,0.6,0.9,0.6,1.1,0.6,1.6,0.6
"Mander (1999),St,SS,NSD_nonCalifornia",Steel,PGA,One,General,General,General,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.8,0.6,0.9,0.6,1.1,0.6,1.6,0.6
"Mander (1999),PC,SS,NSD_nonCalifornia",Prestressed Concrete,PGA,One,General,General,General,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.8,0.6,0.9,0.6,1.1,0.6,1.6,0.6
"Mander (1999),C,SS,NSD_California",Concrete,PGA,One,General,General,General,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.8,0.6,1.9,0.6,2.1,0.6,2.6,0.6
"Mander (1999),St,SS,NSD_California",Steel,PGA,One,General,General,General,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.8,0.6,1.9,0.6,2.1,0.6,2.6,0.6
"Mander (1999),PC,SS,NSD_California",Prestressed Concrete,PGA,One,General,General,General,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.8,0.6,1.9,0.6,2.1,0.6,2.6,0.6
"Mander (1999),C,SS,SD,Skewed=30",Concrete,PGA,One,General,General,General,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.8,0.6,0.837544373,0.6,1.023665345,0.6,1.488967775,0.6
"Mander (1999),St,SS,SD,Skewed=30",Steel,PGA,One,General,General,General,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.8,0.6,0.837544373,0.6,1.023665345,0.6,1.488967775,0.6
"Mander (1999),PC,SS,SD,Skewed=30",Prestressed Concrete,PGA,One,General,General,General,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.8,0.6,0.837544373,0.6,1.023665345,0.6,1.488967775,0.6
"Mander (1999),C,SS,NSD_nonCalifornia,Skewed=30",Concrete,PGA,One,General,General,General,Yes,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.8,0.6,0.837544373,0.6,1.023665345,0.6,1.488967775,0.6
"Mander (1999),St,SS,NSD_nonCalifornia,Skewed=30",Steel,PGA,One,General,General,General,Yes,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.8,0.6,0.837544373,0.6,1.023665345,0.6,1.488967775,0.6
"Mander (1999),PC,SS,NSD_nonCalifornia,Skewed=30",Prestressed Concrete,PGA,One,General,General,General,Yes,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.8,0.6,0.837544373,0.6,1.023665345,0.6,1.488967775,0.6
"Mander (1999),C,SS,NSD_California,Skewed=30",Concrete,PGA,One,General,General,General,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.8,0.6,1.768149232,0.6,1.954270204,0.6,2.419572634,0.6
"Mander (1999),St,SS,NSD_California,Skewed=30",Steel,PGA,One,General,General,General,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.8,0.6,1.768149232,0.6,1.954270204,0.6,2.419572634,0.6
"Mander (1999),PC,SS,NSD_California,Skewed=30",Prestressed Concrete,PGA,One,General,General,General,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.8,0.6,1.768149232,0.6,1.954270204,0.6,2.419572634,0.6
"Mander Major Bridges(No. of Enterance)(1999),SD",Concrete,PGA,General,General,General,General,General,General,General,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.6,0.6,0.8,0.6,1,0.6,1.6,0.6
"Mander Major Bridges(No. of Enterance)(1999),NSD_nonCalifornia",Concrete,PGA,General,General,General,General,General,General,General,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.4,0.6,0.5,0.6,0.6,0.6,0.8,0.6
"Mander Major Bridges(No. of Enterance)(1999),NSD_California",Concrete,PGA,General,General,General,General,General,General,General,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.4,0.6,0.5,0.6,0.6,0.6,0.8,0.6
"Mander (1999),C,2MSSS_MC,SD",Concrete,PGA,Two,Simply Supported,General,Multiple columns,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.45,0.6,0.849705831,0.6,1.173935688,0.6,1.710592003,0.6
"Mander (1999),St,2MSSS_MC,SD",Steel,PGA,Two,Simply Supported,General,Multiple columns,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.45,0.6,0.849705831,0.6,1.173935688,0.6,1.710592003,0.6
"Mander (1999),PC,2MSSS_MC,SD",Prestressed Concrete,PGA,Two,Simply Supported,General,Multiple columns,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.45,0.6,0.849705831,0.6,1.173935688,0.6,1.710592003,0.6
"Mander (1999),C,2MSSS_MC,NSD_nonCalifornia",Concrete,PGA,Two,Simply Supported,General,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.26,0.6,0.391311896,0.6,0.491934955,0.6,0.726722093,0.6
"Mander (1999),St,2MSSS_MC,NSD_nonCalifornia",Steel,PGA,Two,Simply Supported,General,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.26,0.6,0.365410728,0.6,0.459373486,0.6,0.678619923,0.6
"Mander (1999),PC,2MSSS_MC,NSD_nonCalifornia",Prestressed Concrete,PGA,Two,Simply Supported,General,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.26,0.6,0.391311896,0.6,0.491934955,0.6,0.726722093,0.6
"Mander (1999),C,2MSSS_MC,NSD_California",Concrete,PGA,Two,Simply Supported,General,Multiple columns,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.33,0.6,0.514295635,0.6,0.626099034,0.6,0.927968211,0.6
"Mander (1999),St,2MSSS_MC,NSD_California",Steel,PGA,Two,Simply Supported,General,Multiple columns,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.33,0.6,0.514295635,0.6,0.626099034,0.6,0.927968211,0.6
"Mander (1999),PC,2MSSS_MC,NSD_California",Prestressed Concrete,PGA,Two,Simply Supported,General,Multiple columns,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.33,0.6,0.514295635,0.6,0.626099034,0.6,0.927968211,0.6
"Mander (1999),C,2MSSS_SC,SD",Concrete,PGA,Two,Simply Supported,General,Single column,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.54,0.6,0.98386991,0.6,1.364001466,0.6,1.621149284,0.6
"Mander (1999),PC,2MSSS_SC,SD",Prestressed Concrete,PGA,Two,Simply Supported,General,Single column,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.54,0.6,0.98386991,0.6,1.364001466,0.6,1.621149284,0.6
"Mander (1999),C,2MSC_SC,NSD_Califonia",Concrete,PGA,Two,Continuous,General,Single column,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.35,0.6,0.484367629,0.6,0.57662813,0.6,0.853409632,0.6
"Mander (1999),PC,2MSC_SC,NSD_Califonia",Prestressed Concrete,PGA,Two,Continuous,General,Single column,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.35,0.6,0.484367629,0.6,0.57662813,0.6,0.853409632,0.6
"Mander (1999),C,2MSC_SC,SD",Concrete,PGA,Two,Continuous,General,Single column,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.91,0.6,1.049463196,0.6,1.210919072,0.6,1.591493638,0.6
"Mander (1999),PC,2MSC_SC,SD",Prestressed Concrete,PGA,Two,Continuous,General,Single column,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.91,0.6,1.049463196,0.6,1.210919072,0.6,1.591493638,0.6
